Object DB, UPLOAD, READY, ERR_UPL, DELETING, DELETED, ERR_DEL, ABSENT
Actions, **DELETE**
Object DB Fix, DELETED, DELETED, DELETED, DELETED, *invalid*, DELETED, *ignore*
Driver Fix, DELETE if exists

Actions, **UPDATE**
Object DB Fix, READY If Driver, READY If Driver, READY If Driver, *invalid*, *invalid*, *invalid*, READY with upload
Driver Fix, Upload if needed, *invalid*, Upload if needed, , , , Upload

Actions, **UPLOAD**
Object DB Fix, READY, *invalid*, READY, READY, READY, READY, READY
Driver Fix, Upload, *invalid*, Upload, Upload, Upload, Upload, Upload

Actions, **UPGRADE**
Object DB Fix, READY, *invalid*, READY, READY, READY, READY, READY
Driver Fix, Upload if needed

Actions, **ERR_UPL**
Object DB Fix, ERR_UPL, *invalid*, ERR_UPL, *invalid*, *invalid*, *invalid*, *invalid*
Driver Fix, Nothing
